Pin: U\n	{"Pref"={"Pin"="U"}}
# \n\n# \n\nExplanation: Vy\n\n# \n\nPin: \n\nExplanation: QW\n\n# tD\n\nPackage: \n\n# aM\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Vy"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="QW"}}{"Pref"={"#comment"="tD"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="aM"}}
Explanation: \n\nPin-Priority: 768446\n\nPin-Priority: 53\n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="768446"}}{"Pref"={"Pin-Priority"="53"}}{"Pref"={"Pin"=""}}
# \n\nExplanation: \n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Package: *\n\n# mK\n\nPackage: 3\n\nExplanation: \n\nPin: GvU\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="mK"}}{"Pref"={"Package"="3"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="GvU"}}
Explanation: zH\n	{"Pref"={"Explanation"="zH"}}
Pin-Priority: 6785\n	{"Pref"={"Pin-Priority"="6785"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n\n# XA6\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="XA6"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 8\n\nPin-Priority: 30494\n\nPin: "a\n\n# k\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="30494"}}{"Pref"={"Pin"=""a"}}{"Pref"={"#comment"="k"}}
# 8P\n\nPin: u5.q\n\nPin-Priority: 00325\n\nPin: .Oe\n\nPackage: *\n	{"Pref"={"#comment"="8P"}}{"Pref"={"Pin"="u5.q"}}{"Pref"={"Pin-Priority"="00325"}}{"Pref"={"Pin"=".Oe"}}{"Pref"={"Package"="*"}}
Explanation: W\n\nPin-Priority: 0433816\n\n# mk\n\nPin-Priority: 3\n	{"Pref"={"Explanation"="W"}}{"Pref"={"Pin-Priority"="0433816"}}{"Pref"={"#comment"="mk"}}{"Pref"={"Pin-Priority"="3"}}
Explanation: k\n\nPackage: \n\n# lR\n	{"Pref"={"Explanation"="k"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="lR"}}
# V\n\nPin: k\n\nExplanation: bWe_\n\nPin-Priority: 94\n	{"Pref"={"#comment"="V"}}{"Pref"={"Pin"="k"}}{"Pref"={"Explanation"="bWe_"}}{"Pref"={"Pin-Priority"="94"}}
Pin-Priority: 220\n	{"Pref"={"Pin-Priority"="220"}}
Pin-Priority: 658\n	{"Pref"={"Pin-Priority"="658"}}
Pin-Priority: 1279\n\nPin: \n\nPin: ogy\n\nPin: K\n\nPin-Priority: 7\n\nPin: ttFm\n\nPin: MX\n	{"Pref"={"Pin-Priority"="1279"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="ogy"}}{"Pref"={"Pin"="K"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin"="ttFm"}}{"Pref"={"Pin"="MX"}}
Pin: Oc2\n	{"Pref"={"Pin"="Oc2"}}
# _tb2\n\nPackage: *\n	{"Pref"={"#comment"="_tb2"}}{"Pref"={"Package"="*"}}
Explanation: tC\n\nPin: D\n	{"Pref"={"Explanation"="tC"}}{"Pref"={"Pin"="D"}}
Package: nK\n\nPackage: *\n\nExplanation: ygF\n\nPin-Priority: 64\n\nPackage: *\n	{"Pref"={"Package"="nK"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="ygF"}}{"Pref"={"Pin-Priority"="64"}}{"Pref"={"Package"="*"}}
# \n\nExplanation: hq\n\nPackage: AhG\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="hq"}}{"Pref"={"Package"="AhG"}}
Pin: e6\n\nPin: Mn\n	{"Pref"={"Pin"="e6"}}{"Pref"={"Pin"="Mn"}}
Explanation: p\n\n# \n\nPin: s\n	{"Pref"={"Explanation"="p"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="s"}}
# p\n\nPin-Priority: 5\n\n# Rb\n	{"Pref"={"#comment"="p"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"#comment"="Rb"}}
Explanation: LQ\n	{"Pref"={"Explanation"="LQ"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: khEK\n\nPackage: r_"\n\nPin: YvD\n	{"Pref"={"Package"="khEK"}}{"Pref"={"Package"="r_""}}{"Pref"={"Pin"="YvD"}}
Pin-Priority: 9\n	{"Pref"={"Pin-Priority"="9"}}
# \n\nExplanation: GW7p:\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="GW7p:"}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin: \n\nPackage: *\n\nExplanation: 4\n\nExplanation: c\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="4"}}{"Pref"={"Explanation"="c"}}
Pin-Priority: 97\n	{"Pref"={"Pin-Priority"="97"}}
# 2FnNV\n\nPackage: PeD3YZB\n\nExplanation: \n\nPin: \n	{"Pref"={"#comment"="2FnNV"}}{"Pref"={"Package"="PeD3YZB"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Pin-Priority: 5649\n	{"Pref"={"Pin-Priority"="5649"}}
Pin: \n\n# \n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
# +fY\n\nPin-Priority: 108623\n\nPin-Priority: 9\n	{"Pref"={"#comment"="+fY"}}{"Pref"={"Pin-Priority"="108623"}}{"Pref"={"Pin-Priority"="9"}}
Pin: uq\n	{"Pref"={"Pin"="uq"}}
# \n\nPin-Priority: 5\n\nPin-Priority: 3\n\nPin: R\n\nPin: \n\nPin-Priority: 3\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin"="R"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="3"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: I\n\nPackage: \n	{"Pref"={"Package"="I"}}{"Pref"={"Package"=""}}
Pin-Priority: 5\n\n# W\n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"#comment"="W"}}
Pin: xu\n	{"Pref"={"Pin"="xu"}}
Pin: 7aia5\n\n# P\n\n# 3I\n\nPin-Priority: 0616\n	{"Pref"={"Pin"="7aia5"}}{"Pref"={"#comment"="P"}}{"Pref"={"#comment"="3I"}}{"Pref"={"Pin-Priority"="0616"}}
Pin:  GHt\n\nPin-Priority: 7\n\nExplanation: 8+\n\nPackage: zaUx\n\n# J\n\nPin: I_\n\nPin-Priority: 1\n	{"Pref"={"Pin"=" GHt"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"="8+"}}{"Pref"={"Package"="zaUx"}}{"Pref"={"#comment"="J"}}{"Pref"={"Pin"="I_"}}{"Pref"={"Pin-Priority"="1"}}
Pin: -\n	{"Pref"={"Pin"="-"}}
Explanation: W\n	{"Pref"={"Explanation"="W"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 74\n\nPin-Priority: 89\n\nPin: p\n\nPin-Priority: 909\n	{"Pref"={"Pin-Priority"="74"}}{"Pref"={"Pin-Priority"="89"}}{"Pref"={"Pin"="p"}}{"Pref"={"Pin-Priority"="909"}}
Pin-Priority: 2920111\n	{"Pref"={"Pin-Priority"="2920111"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# B\n	{"Pref"={"#comment"="B"}}
Pin-Priority: 702\n\nPin-Priority: 6\n	{"Pref"={"Pin-Priority"="702"}}{"Pref"={"Pin-Priority"="6"}}
Pin-Priority: 47\n	{"Pref"={"Pin-Priority"="47"}}
Explanation: p\n\nExplanation: "\n	{"Pref"={"Explanation"="p"}}{"Pref"={"Explanation"="""}}
Explanation: m\n	{"Pref"={"Explanation"="m"}}
Package: *\n\n# jg\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="jg"}}
# x\n	{"Pref"={"#comment"="x"}}
# yp\n\nExplanation: F0\n\n# \n\n# \n	{"Pref"={"#comment"="yp"}}{"Pref"={"Explanation"="F0"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 54677\n\nPin-Priority: 2558\n\nPin-Priority: 05939\n\nPin-Priority: 8\n\nPin: \n	{"Pref"={"Pin-Priority"="54677"}}{"Pref"={"Pin-Priority"="2558"}}{"Pref"={"Pin-Priority"="05939"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin"=""}}
Pin: "\n\nExplanation: "J=\n\nPin-Priority: 70\n\nExplanation: p9\n\nPin-Priority: 16\n\nPackage: .OO\n\nPin: \n\nPin: Y\n\n# '\n\nPin: L\n\nPackage: \n\nPin-Priority: 012\n\nPin: 8W\n	{"Pref"={"Pin"="""}}{"Pref"={"Explanation"=""J="}}{"Pref"={"Pin-Priority"="70"}}{"Pref"={"Explanation"="p9"}}{"Pref"={"Pin-Priority"="16"}}{"Pref"={"Package"=".OO"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="Y"}}{"Pref"={"#comment"="'"}}{"Pref"={"Pin"="L"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="012"}}{"Pref"={"Pin"="8W"}}
Pin-Priority: 60218\n\nExplanation: v\n	{"Pref"={"Pin-Priority"="60218"}}{"Pref"={"Explanation"="v"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 286845\n\nExplanation: 5\n\nPin: \n\nPin-Priority: 8\n\nPackage: Ts\n\nExplanation: \n\nPin-Priority: 53\n\nExplanation: rI\n\nPackage: *\n\n# \n\nPin: KOrIo\n	{"Pref"={"Pin-Priority"="286845"}}{"Pref"={"Explanation"="5"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"="Ts"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="53"}}{"Pref"={"Explanation"="rI"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="KOrIo"}}
Package: P\n	{"Pref"={"Package"="P"}}
# T-\n\nPin: \n\n# g\n\nPin: Ue7V\n\nPackage: *\n	{"Pref"={"#comment"="T-"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="g"}}{"Pref"={"Pin"="Ue7V"}}{"Pref"={"Package"="*"}}
# GOQ/V\n\nPin: b\n	{"Pref"={"#comment"="GOQ/V"}}{"Pref"={"Pin"="b"}}
Pin-Priority: 75\n	{"Pref"={"Pin-Priority"="75"}}
Pin-Priority: 3\n\nPin-Priority: 5315\n\nPackage: \n\nPin: C\n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="5315"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="C"}}
Pin: Zev\n\nPackage: *\n\n# ScU\n	{"Pref"={"Pin"="Zev"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="ScU"}}
Pin-Priority: 54650002\n	{"Pref"={"Pin-Priority"="54650002"}}
Pin: q\n	{"Pref"={"Pin"="q"}}
# V\n\n# \n	{"Pref"={"#comment"="V"}}{"Pref"={"#comment"=""}}
Pin-Priority: 318561\n\nExplanation: \n	{"Pref"={"Pin-Priority"="318561"}}{"Pref"={"Explanation"=""}}
Pin: \n\n# \n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
# iks\n\n# B\n\nExplanation: \n\nPackage: \n	{"Pref"={"#comment"="iks"}}{"Pref"={"#comment"="B"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}
# \n\nExplanation: Qz8pY\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Qz8pY"}}
# LDd\n\nPackage: *\n\n# Ki\n	{"Pref"={"#comment"="LDd"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="Ki"}}
# +r\n	{"Pref"={"#comment"="+r"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: OWz\n	{"Pref"={"Pin"="OWz"}}
Explanation: j\n	{"Pref"={"Explanation"="j"}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n\n# y\n\n# \n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="y"}}{"Pref"={"#comment"=""}}
Package: b5\n\nPin: A\n\n# oK\n\nPin-Priority: 5248\n\nPin-Priority: 34\n\nExplanation: +HkNL\n	{"Pref"={"Package"="b5"}}{"Pref"={"Pin"="A"}}{"Pref"={"#comment"="oK"}}{"Pref"={"Pin-Priority"="5248"}}{"Pref"={"Pin-Priority"="34"}}{"Pref"={"Explanation"="+HkNL"}}
Pin: \n\nExplanation: F\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="F"}}
# \n	{"Pref"={"#comment"=""}}
Explanation: 3\n	{"Pref"={"Explanation"="3"}}
Package: \n\nExplanation: kWrAB\n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"="kWrAB"}}
Pin: WaBB" \n	{"Pref"={"Pin"="WaBB" "}}
Pin-Priority: 2\n	{"Pref"={"Pin-Priority"="2"}}
Package: *\n\nPin-Priority: 6\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="6"}}
Pin-Priority: 0\n	{"Pref"={"Pin-Priority"="0"}}
Explanation: a.E\n	{"Pref"={"Explanation"="a.E"}}
Explanation: \n\nPin-Priority: 06\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="06"}}
Pin: f\n\nExplanation: \n\nPackage: s\n	{"Pref"={"Pin"="f"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="s"}}
# Ny\n\nPin: 1P\n\nPin-Priority: 1\n	{"Pref"={"#comment"="Ny"}}{"Pref"={"Pin"="1P"}}{"Pref"={"Pin-Priority"="1"}}
Pin: p7\n\nPin-Priority: 7982\n\nPin: \n	{"Pref"={"Pin"="p7"}}{"Pref"={"Pin-Priority"="7982"}}{"Pref"={"Pin"=""}}
# \n	{"Pref"={"#comment"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: SfFT\n	{"Pref"={"Package"="SfFT"}}
# 9O\n\n# \n	{"Pref"={"#comment"="9O"}}{"Pref"={"#comment"=""}}
Package: *\n\nPin-Priority: 9\n\nPin: s\n\nExplanation: Av/\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Pin"="s"}}{"Pref"={"Explanation"="Av/"}}{"Pref"={"Package"=""}}
Package: 'GN\n	{"Pref"={"Package"="'GN"}}
Pin: p\n\n# :\n\nPin-Priority: 8\n\nExplanation: \n	{"Pref"={"Pin"="p"}}{"Pref"={"#comment"=":"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}
Pin: v\n	{"Pref"={"Pin"="v"}}
Pin: \n\nPackage: *\n\n# y\n\n# A\n\nPackage: *\n\nPin-Priority: 0479393741\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="y"}}{"Pref"={"#comment"="A"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="0479393741"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 8814\n	{"Pref"={"Pin-Priority"="8814"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: pAoNWZE\n\nPackage: z\n\nPin-Priority: 36654\n\nExplanation: Z\n	{"Pref"={"Pin"="pAoNWZE"}}{"Pref"={"Package"="z"}}{"Pref"={"Pin-Priority"="36654"}}{"Pref"={"Explanation"="Z"}}
Explanation: \n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
Package: \n\nPin: p\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="p"}}
Explanation: 2wY\n	{"Pref"={"Explanation"="2wY"}}
Explanation: \n\nPin-Priority: 3\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="3"}}
# N\n\nPin-Priority: 530\n	{"Pref"={"#comment"="N"}}{"Pref"={"Pin-Priority"="530"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: N\n	{"Pref"={"Pin"="N"}}
# \n\nPackage: \n	{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}
Explanation: o\n\n# 0s\n\nExplanation: \n\nExplanation: \n	{"Pref"={"Explanation"="o"}}{"Pref"={"#comment"="0s"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Package: *\n\nPin: AkuF.\n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="AkuF."}}{"Pref"={"Pin"=""}}
Pin-Priority: 0\n\nPin: \n\nPackage: *\n	{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Explanation: \n\nExplanation: D/D\n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="D/D"}}{"Pref"={"Package"="*"}}
Pin: \n\nPin: _Zj\n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="_Zj"}}{"Pref"={"Package"="*"}}
Package: *\n\nPin: \n\nPackage: U\n\nPin: \n\n# /f\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="U"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="/f"}}
# 3\n\nExplanation: BOv\n\n# \n	{"Pref"={"#comment"="3"}}{"Pref"={"Explanation"="BOv"}}{"Pref"={"#comment"=""}}
Package: Q\n\nExplanation: q\n\nPin-Priority: 58\n	{"Pref"={"Package"="Q"}}{"Pref"={"Explanation"="q"}}{"Pref"={"Pin-Priority"="58"}}
Pin: Omq\n	{"Pref"={"Pin"="Omq"}}
Package: \n	{"Pref"={"Package"=""}}
Pin-Priority: 166\n	{"Pref"={"Pin-Priority"="166"}}
Pin-Priority: 9\n\n# \n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"#comment"=""}}
Pin: Y\n\nPin: H\n\nExplanation: dv\n\nPin: \n	{"Pref"={"Pin"="Y"}}{"Pref"={"Pin"="H"}}{"Pref"={"Explanation"="dv"}}{"Pref"={"Pin"=""}}
Explanation: LW.oB\n\nPin-Priority: 240\n\n# \n	{"Pref"={"Explanation"="LW.oB"}}{"Pref"={"Pin-Priority"="240"}}{"Pref"={"#comment"=""}}
Explanation: c\n\nPackage: *\n	{"Pref"={"Explanation"="c"}}{"Pref"={"Package"="*"}}
Pin: WE\n	{"Pref"={"Pin"="WE"}}
Explanation: \n\n# \n\n# Z\n\nPin-Priority: 04\n\n# s9\n\n# 3\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="Z"}}{"Pref"={"Pin-Priority"="04"}}{"Pref"={"#comment"="s9"}}{"Pref"={"#comment"="3"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: *\n\n# .-uq.A\n\nExplanation: \n\nPin-Priority: 7\n\nPackage: *\n\nExplanation: \n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=".-uq.A"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
# L-k_x5\n\nExplanation: \n	{"Pref"={"#comment"="L-k_x5"}}{"Pref"={"Explanation"=""}}
Pin: oc\n\nPackage: G4-P\n\nPin: E\n	{"Pref"={"Pin"="oc"}}{"Pref"={"Package"="G4-P"}}{"Pref"={"Pin"="E"}}
Package: DZ\n\nExplanation: \n\n# \n	{"Pref"={"Package"="DZ"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
Pin-Priority: 11559\n	{"Pref"={"Pin-Priority"="11559"}}
Explanation: V\n\nExplanation: \n\nPackage: -\n\nPin-Priority: 57\n\nPin: Q\n\nPackage: *\n\n# \n\nExplanation: =FoZ+\n\nPackage: HWT0\n\n# \n\nPin-Priority: 0\n\nExplanation: \n\nPackage: *\n	{"Pref"={"Explanation"="V"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="-"}}{"Pref"={"Pin-Priority"="57"}}{"Pref"={"Pin"="Q"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="=FoZ+"}}{"Pref"={"Package"="HWT0"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Pin: H\n\nPackage: /j\n\nPin: \n	{"Pref"={"Pin"="H"}}{"Pref"={"Package"="/j"}}{"Pref"={"Pin"=""}}
# 6\n	{"Pref"={"#comment"="6"}}
Explanation: 5\n	{"Pref"={"Explanation"="5"}}
Pin-Priority: 43033\n\nPackage: \n\nExplanation: moWJgi4\n	{"Pref"={"Pin-Priority"="43033"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="moWJgi4"}}
# \n\nExplanation: \n\nPin: n\n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="n"}}{"Pref"={"#comment"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: jR\n	{"Pref"={"Explanation"="jR"}}
Package: *\n\nPin: 5U\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="5U"}}
# kUd\n	{"Pref"={"#comment"="kUd"}}
Pin-Priority: 7736\n	{"Pref"={"Pin-Priority"="7736"}}
# r=\n	{"Pref"={"#comment"="r="}}
# \n\nPackage: *\n\nPackage: xYBtGhGwxO\n\nPin: \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="xYBtGhGwxO"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Explanation: lyos\n	{"Pref"={"Explanation"="lyos"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Package: *\n\nExplanation: 24:s\n\nPin: Yhp\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="24:s"}}{"Pref"={"Pin"="Yhp"}}
Explanation: +4Ob\n	{"Pref"={"Explanation"="+4Ob"}}
Pin: \n\n# v\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="v"}}
Explanation: \n\nExplanation: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 4\n	{"Pref"={"Pin-Priority"="4"}}
# \n	{"Pref"={"#comment"=""}}
# S\n	{"Pref"={"#comment"="S"}}
Pin-Priority: 099\n	{"Pref"={"Pin-Priority"="099"}}
Pin-Priority: 075\n\nPin-Priority: 0285\n\n# :gi\n\n# s\n\nExplanation: C\n	{"Pref"={"Pin-Priority"="075"}}{"Pref"={"Pin-Priority"="0285"}}{"Pref"={"#comment"=":gi"}}{"Pref"={"#comment"="s"}}{"Pref"={"Explanation"="C"}}
Pin: =4\n	{"Pref"={"Pin"="=4"}}
Pin: ry\n	{"Pref"={"Pin"="ry"}}
Pin-Priority: 4\n\n# 3\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"="3"}}
# Y+\n	{"Pref"={"#comment"="Y+"}}
Explanation: X\n	{"Pref"={"Explanation"="X"}}
Explanation: S7jnZ3\n\nPackage: *\n	{"Pref"={"Explanation"="S7jnZ3"}}{"Pref"={"Package"="*"}}
Pin-Priority: 53\n\nPackage: vWs"+\n	{"Pref"={"Pin-Priority"="53"}}{"Pref"={"Package"="vWs"+"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: t\n	{"Pref"={"Explanation"="t"}}
Package: *\n\nPin-Priority: 8\n\nPin-Priority: 23\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="23"}}
# OmUm\n\nPin: \n	{"Pref"={"#comment"="OmUm"}}{"Pref"={"Pin"=""}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# "a\n\n# j\n\nExplanation: vdMo+ 2\n	{"Pref"={"#comment"="\"a"}}{"Pref"={"#comment"="j"}}{"Pref"={"Explanation"="vdMo+ 2"}}
# \n\nExplanation: Le\n\nExplanation: \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Le"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
# Y\n\nExplanation: I8\n	{"Pref"={"#comment"="Y"}}{"Pref"={"Explanation"="I8"}}
Package: =\n	{"Pref"={"Package"="="}}
Pin: \n\nPin-Priority: 3\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="3"}}
Explanation: _W\n\nPin-Priority: 335\n\n# \n	{"Pref"={"Explanation"="_W"}}{"Pref"={"Pin-Priority"="335"}}{"Pref"={"#comment"=""}}
Explanation: D\n	{"Pref"={"Explanation"="D"}}
Explanation: QQ\n\n# \n	{"Pref"={"Explanation"="QQ"}}{"Pref"={"#comment"=""}}
Pin: 5ObC\n\nPin-Priority: 567\n\n# \n	{"Pref"={"Pin"="5ObC"}}{"Pref"={"Pin-Priority"="567"}}{"Pref"={"#comment"=""}}
# \n\nPackage: \n\nExplanation: \n\nPin: K\n\n# u\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="K"}}{"Pref"={"#comment"="u"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: d\n\nPin: \n\nPin: 6\n\nPackage: *\n\nPackage: *\n\nPin-Priority: 3\n\nPin-Priority: 6\n	{"Pref"={"Explanation"="d"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="6"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="6"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 032\n	{"Pref"={"Pin-Priority"="032"}}
Pin-Priority: 94\n	{"Pref"={"Pin-Priority"="94"}}
Package: *\n\n# BOT8\n\nPin-Priority: 641\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="BOT8"}}{"Pref"={"Pin-Priority"="641"}}
# \n\nExplanation: Dp'\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="Dp'"}}
Pin-Priority: 2\n	{"Pref"={"Pin-Priority"="2"}}
Package: A\n	{"Pref"={"Package"="A"}}
# s/\n\nPin-Priority: 6\n	{"Pref"={"#comment"="s/"}}{"Pref"={"Pin-Priority"="6"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: \n\n# \n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
Pin: \n\nPin-Priority: 737\n\nExplanation: L=\n\nExplanation: w+\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="737"}}{"Pref"={"Explanation"="L="}}{"Pref"={"Explanation"="w+"}}
Pin-Priority: 20899\n	{"Pref"={"Pin-Priority"="20899"}}
Explanation: :\n	{"Pref"={"Explanation"=":"}}
Explanation: \n\nExplanation: \n\nPackage: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}
